Peak,FA_name,Common_name,Class,synthesizer,Reten_81_clear_clad,Area_81_clear_clad,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,total_appearances,availability
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.13770676,27.72460365,30.14179802,45.69731522,30.1650753,101.033783,30.13913918,37.82129288,30.13616371,69.56352997,30.17565727,147.4388275,31,1
39,16-1n5,,MUFA,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),30.67686844,8.336698532,30.67575264,5.454623222,30.68076897,7.512189388,30.67697144,3.396496058,30.66215515,3.117462635,30.67694473,6.83868742,22,0.709677419
40,17-0,,SAFA,,31.48834991,10.10185814,31.48734474,3.843420982,31.49072838,8.299765587,31.48693466,2.976380348,31.47043991,4.208520889,31.48491096,4.379362106,25,0.806451613
42,17-0,,SAFA,,32.106987,9.657501221,32.10790253,4.860078335,32.11194992,5.708376408,32.10972214,3.318203926,32.09128189,3.321052551,32.10754776,6.029593468,26,0.838709677
45,17-0,,SAFA,,33.43502426,8.825655937,33.43616486,6.756381512,33.44564056,24.44085503,33.43638229,16.90400696,33.41815948,9.859614372,33.4347496,13.53072262,29,0.935483871
46,16-4n3,,PUFA,green algae,34.34225082,4.024348259,34.34319305,4.265381813,34.33995438,7.87041235,NA,NA,34.3250885,5.175839424,34.33380508,6.42258358,27,0.870967742
50,i18-0,,SAFA,bacteria,35.83090591,4.585230827,35.83114243,2.303814173,35.75598907,4.454510212,NA,NA,NA,NA,NA,NA,12,0.387096774
52,18-0,,SAFA,t-POM,38.21588516,70.66477966,38.20482254,50.21723938,38.23434448,78.64912415,38.20610046,46.94067764,38.1833725,39.85198593,38.20323563,52.11011887,31,1
54,18-1n9c,oleic acid,MUFA,fungi,39.0062027,63.2498703,39.02114868,93.63067627,39.04421997,130.6335602,39.02549744,104.7967529,38.99053955,64.21051788,39.00804138,70.8404541,31,1
55,18-1n7,,MUFA,,39.41635895,37.57234573,39.41301346,25.96128464,39.45719147,94.6601181,39.43514252,67.52545929,39.41559982,61.66500854,39.43820953,80.81464386,31,1
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",41.30013275,13.62944984,41.30045319,18.31349564,41.31097031,22.63640594,41.30955124,29.55737114,41.28505707,15.56729603,41.30023956,12.81841469,31,1
64,18-3n3,ALA (alpha-linolenic),PUFA,green algae and diatoms,44.39849854,10.51028824,44.39910507,11.66919613,44.40735245,19.43444252,44.40500641,21.05713272,44.38562775,14.01766777,44.39588165,8.377040863,31,1
65,18-4n3,SDA (stearidonic acid),PUFA,green algae,45.82185745,8.780549049,45.82196426,5.609374046,45.82562256,2.91251874,45.82550049,6.134205818,45.80967331,3.717054367,45.82086563,3.432852983,23,0.741935484
77,20-4n6,ARA (arachidonic),PUFA,"produced by very few higher plants and algae, must be elongated from LIN",54.19830322,6.573114872,54.19664383,5.600206375,54.20196533,10.19667244,54.20723343,27.90041351,54.18259048,6.939241409,54.19822693,5.547167301,25,0.806451613
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",57.61257172,9.428109169,57.61582184,11.4116497,57.61881256,13.14283276,57.61945343,17.51947021,57.60157394,6.400332451,57.611866,4.357056618,28,0.903225806
82,22-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",NA,NA,NA,NA,59.58850479,4.786294937,59.5763855,3.493183374,NA,NA,NA,NA,22,0.709677419
98,,,,,70.34140778,5.844266891,79.12213135,3.329970837,79.12702942,5.56189394,79.11639404,4.818005085,79.10438538,4.398184776,79.1122818,3.337033749,16,0.516129032
