Peak,FA_name,Common_name,Class,synthesizer,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_96_L_cal,Area_96_L_cal,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_105_milk_cal,Area_105_milk_cal,total_appearances,availability
49,17-1,,MUFA,,34.88038254,7.475337029,34.8417511,4.528720379,34.88562012,6.793509007,34.89788055,4.000998497,NA,NA,34.89544296,6.323680878,NA,NA,34.89795685,15.66513538,34.89403152,10.8421545,34.88925934,7.201472759,16,0.516129032
50,i18-0,,SAFA,bacteria,NA,NA,35.76597977,4.638231754,NA,NA,35.84430313,3.266903639,35.83836365,4.130989552,35.85292053,15.57286167,35.83628082,3.697555304,35.88676071,20.53154945,35.85807419,5.944391727,35.85053635,10.0339241,12,0.387096774
52,18-0,,SAFA,t-POM,38.2570343,90.61625671,38.25183105,78.16440582,38.24227142,88.8242569,38.22784805,75.82643127,38.22321701,72.21115875,38.23430252,74.07983398,38.22361374,69.81147766,38.30097961,136.670517,38.26633453,98.44696808,38.23158264,64.82530212,31,1
54,18-1n9c,oleic acid,MUFA,fungi,39.05826187,142.680481,39.06432343,153.2455292,39.04896545,130.8323975,39.01852417,61.74754715,39.01183701,58.4768486,39.0500412,140.6941071,39.03437042,116.9453278,39.10926437,221.7173309,39.11714172,325.3916931,39.06240845,175.262558,31,1
55,18-1n7,,MUFA,,39.47411728,108.1354446,39.46015549,75.27859497,39.44810104,65.12277985,39.41841125,12.91888237,39.41508865,13.69117641,39.44293976,55.00431442,39.4237442,34.99573135,39.48858643,77.09368896,39.46009064,59.20590591,39.43975449,46.43452072,31,1
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",41.3310318,52.45545578,41.32781982,46.71550369,41.33369446,67.44073486,41.34936523,104.6446686,41.33835983,83.68293762,41.3396492,82.60781097,41.33190918,80.04607391,41.39657974,175.8117065,41.34769058,85.42273712,41.34449387,97.87220764,31,1
62,18-3n6,GLA (gamma-linoleic),PUFA,,42.64499283,4.586808205,42.6484375,3.650724649,42.65361786,11.9383316,42.64876175,6.612836361,42.65078735,4.000140667,42.64715195,9.979251862,42.64359665,11.89853764,42.67546082,44.43154526,42.65104294,10.18205166,42.64739609,9.348237991,14,0.451612903
64,18-3n3,ALA (alpha-linolenic),PUFA,green algae and diatoms,44.42873001,65.11616516,44.42226028,48.16930008,44.42900848,56.9495163,44.4321022,62.87573242,44.41365433,34.62067032,44.44615173,103.6295853,44.42787933,73.48867798,44.5145874,222.8032837,44.45420456,113.8793945,44.44863129,110.7325974,31,1
65,18-4n3,SDA (stearidonic acid),PUFA,green algae,45.82548904,19.97409439,45.82281113,8.523903847,45.83749008,32.69765091,45.85762787,86.23020935,45.83638382,35.48173904,45.85894394,94.27479553,45.82774353,26.11932373,45.99199295,534.7200928,45.85732269,82.36050415,45.86714935,121.6410217,23,0.741935484
68,20-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",48.63496017,4.586061001,48.63722229,4.014392376,48.61902237,4.004749775,48.62440491,5.334236622,48.62239838,8.102573395,48.6210289,8.403643608,48.61202621,3.879042864,48.64635468,30.02286911,48.62685776,11.29252625,48.6198349,8.006768227,25,0.806451613
70,20-1n7,,MUFA,,49.51441956,4.841599464,49.51583099,4.730817318,49.50649643,8.135972023,49.51013947,5.329007149,49.50950241,4.49198246,49.50530243,7.168099403,49.4956398,6.167287827,49.52174377,16.00604439,49.5101738,15.11368847,49.50815964,11.40787888,20,0.64516129
75,20-2n6,,PUFA,Euglenophyceae,NA,NA,NA,NA,52.10840225,5.114686012,52.10826874,8.539528847,52.10792923,7.109158516,52.11149597,15.45657349,52.09838104,5.159375668,52.11588669,16.92434502,52.10455704,5.023207188,52.10707474,9.252691269,9,0.290322581
76,20-3n6,,PUFA,Euglenophyceae,NA,NA,NA,NA,53.44148254,3.999861956,NA,NA,NA,NA,53.44124603,6.959517002,53.43255997,4.225726604,53.45195389,5.315682888,53.43967056,3.101255655,NA,NA,6,0.193548387
77,20-4n6,ARA (arachidonic),PUFA,"produced by very few higher plants and algae, must be elongated from LIN",54.21474838,31.89049149,54.21146393,22.71922684,54.21723557,31.14982414,54.22924042,52.27446747,54.22783279,51.67783737,54.22069168,47.08879471,54.20742416,32.60276413,54.23264694,57.92898941,54.21712494,40.70595169,54.21629333,39.25543976,25,0.806451613
80,20-4n3,,PUFA,Euglenophyceae,56.79788208,3.448943615,NA,NA,56.80543518,6.115667343,56.81293488,6.272379398,NA,NA,56.81052399,17.76654434,56.7971344,6.143041611,56.82594299,20.29616356,56.80782318,8.483345985,56.81553268,10.9758482,10,0.322580645
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",57.62408066,36.67354202,57.62427521,31.87858963,57.64011765,51.8596077,57.66515732,106.2260056,57.64920807,76.90584564,57.66865158,119.8295135,57.63059235,55.27187347,57.71817017,238.7593536,57.68015289,149.535965,57.71281815,245.3737946,28,0.903225806
82,22-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",59.61383057,5.042446613,59.61647415,4.387860298,59.59487152,4.65571785,59.59588623,3.352419615,59.59207153,4.63220644,59.59728622,10.19410229,59.58378983,5.507991314,59.62080002,14.75404072,59.59743881,9.327610016,59.59333801,5.972508907,22,0.709677419
83,,,,,NA,NA,60.58162689,5.068947792,60.56771851,4.150820732,60.5733757,8.658118248,NA,NA,NA,NA,NA,NA,60.58522415,5.568405151,60.56591034,4.841344833,60.56735992,4.646027088,7,0.225806452
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales),66.51082611,9.083462715,66.51194,5.925729752,66.55376434,74.48634338,66.54077911,50.46545029,66.53246307,42.19494629,66.52220917,23.00471306,66.51504517,31.37049103,66.59163666,143.7628632,66.52966309,43.57110596,66.53875732,53.0692749,12,0.387096774
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",70.35701752,20.14608002,70.3587265,25.60998535,70.39026642,53.55948257,70.46257019,177.4914246,70.42459106,116.7364731,70.5065155,283.4216309,70.4040451,96.12810516,70.62518311,586.104126,70.46141815,193.5158386,70.53182983,354.5535278,17,0.548387097
92,24-1n?,,MUFA,,72.26119995,9.263426781,72.26407623,10.76920509,72.25546265,22.18441582,72.22982788,9.859509468,72.2328186,11.77606487,72.23844147,19.81520462,72.22927094,13.65325165,72.25372314,27.58982658,72.24191284,20.1282444,72.23974609,21.92356491,11,0.35483871
98,,,,,79.15309906,5.904663563,79.15563965,5.133348942,79.1360321,6.635583401,79.13130188,3.987236023,79.12910461,4.761342049,79.12863159,6.038869381,79.12424469,6.163952827,NA,NA,79.12450409,4.27086544,79.12644196,6.057980061,16,0.516129032
