lake,type,note1,Cmass,Cpeak,Cpercent,d13C,CpercentAcc,CpercentPrec,d13Cacc,d13Cprec,Nmass,Npeak,Npercent,d15N,placeholder,NpercentAcc,NpercentPrec,d15Nacc,d15Nprec,dD_stdev,H_dD_uncor_permil,dD_H2O,placeholder,placeholder,H_percent,placeholder,w,placeholder,C_to_N_mass,c_mass_samp,n_mass_samp,c_moles_samp,n_moles_samp,C_to_N_moles
Mirror,periphyton,QMA,2.075,332.437,25.0143,-13.254,0.92544,1.1554,-0.050606,0.057281,2.075,168.614,2.5878,-5.72018,,0.29144,0.26336,-0.099243,0.064786,,-234.6008112,,,,,,,,9.666241595,51.9046725,5.369685,4.321428066,0.38335725,11.2725873
Morgenroth,periphyton,QMA,2.178,386.579,27.2747,-20.3127,-1.5641,1.1012,0.0064728,0.081011,2.178,171.954,2.3995,-7.7719,,-0.29796,0.25913,-0.035774,0.038319,,-233.1789257,,,,,,,,11.36682642,59.4042966,5.226111,4.945824378,0.373107089,13.25577701
Morgenroth,periphyton,GFF,2.075,230.953,17.5008,-21.0692,0.92544,1.1554,-0.050606,0.057281,2.075,106.013,1.6574,-6.38073,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,10.55918909,36.31416,3.439105,3.023408542,0.245527593,12.3139257
No Name,periphyton,QMA,2.139,314.963,23.0109,-23.9309,0.92544,1.1554,-0.050606,0.057281,2.139,113.068,1.7095,-6.2318,,0.29144,0.26336,-0.099243,0.064786,,-233.1789257,,,,,,,,13.46060252,49.2203151,3.6566205,4.097936483,0.26105665,15.69749891
O,periphyton,GFF,2.043,375.804,28.6671,-25.391,0.92544,1.1554,-0.050606,0.057281,2.043,181.286,2.8196,-2.6951,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,10.16708044,58.5668853,5.7604428,4.876104013,0.411254573,11.85665604
O,periphyton,QMA,2.094,378.579,28.1725,-25.4192,0.92544,1.1554,-0.050606,0.057281,2.094,186.288,2.8246,-2.9949,,0.29144,0.26336,-0.099243,0.064786,,-197.1116265,,,,,,,,9.973978616,58.993215,5.9147124,4.911598951,0.422268323,11.63146436
Y-015,periphyton,GFF,2.009,101.043,8.1418,-20.3145,0.92544,1.1554,-0.050606,0.057281,2.009,41.329,0.71891,-7.9075,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,11.32520065,16.3568762,1.44429019,1.361824677,0.103112029,13.20723383
Y-015,periphyton,QMA,2.034,114.199,9.0354,-20.2722,0.92544,1.1554,-0.050606,0.057281,2.034,47.928,0.81013,-7.6684,,0.29144,0.26336,-0.099243,0.064786,,-234.6008112,,,,,,,,11.15302482,18.3780036,1.64780442,1.53009771,0.117641495,13.00644565
Y-025,periphyton,GFF,2.121,144.447,10.8556,-22.5787,0.92544,1.1554,-0.050606,0.057281,2.121,55.267,0.88361,-7.65529,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,12.28551058,23.0247276,1.87413681,1.916970077,0.133800015,14.32712902
Y-025,periphyton,QMA,2.037,138.647,10.3665,-22.4763,-1.5641,1.1012,0.0064728,0.081011,2.037,56.515,0.8127,-6.43834,,-0.29796,0.25913,-0.035774,0.038319,,-234.6008112,,,,,,,,12.75562938,21.1165605,1.6554699,1.758101782,0.118188756,14.87537264
Z,periphyton,QMA,2.001,403.027,31.3589,-26.3412,0.92544,1.1554,-0.050606,0.057281,2.001,93.473,1.5254,-6.83866,,0.29144,0.26336,-0.099243,0.064786,,-199.9939732,,,,,,,,20.5578209,62.7491589,3.0523254,5.224307626,0.217914286,23.97414015
Z,periphyton,GFF,2.094,378.075,28.1355,-26.977,0.92544,1.1554,-0.050606,0.057281,2.094,111.096,1.7172,-6.42328,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,16.38452131,58.915737,3.5958168,4.905148364,0.256715699,19.10731746
,Plant,Sedge,1.566,472.718,46.4283,-28.3317,-1.5641,1.1012,0.0064728,0.081011,1.566,102.785,1.9711,-4.2629,,-0.29796,0.25913,-0.035774,0.038319,,-152.8832608,,,,5.396768006,,,,23.55451271,72.7067178,3.0867426,6.053344251,0.220371429,27.4688252
,Plant,Blueberry,1.533,482.313,48.3943,-30.4004,-1.5641,1.1012,0.0064728,0.081011,1.533,114.714,2.2542,-7.8704,,-0.29796,0.25913,-0.035774,0.038319,,-150.1031218,,,,5.327195724,,,,21.46850324,74.1884619,3.4556886,6.176709841,0.246711544,25.03616059
,Plant,Cedar,1.502,442.041,45.2525,-25.0045,-1.5641,1.1012,0.0064728,0.081011,1.502,33.105,0.62008,-9.4318,,-0.29796,0.25913,-0.035774,0.038319,,-161.922362,,,,4.901631752,,,,72.97848665,67.969255,0.93136016,5.658917243,0.066492479,85.10612459
,Plant,Fir,1.477,464.495,48.3661,-28.2802,-1.5641,1.1012,0.0064728,0.081011,1.477,38.11,0.73539,-7.6376,,-0.29796,0.25913,-0.035774,0.038319,,-180.2057474,,,,5.334204861,,,,65.76931968,71.4367297,1.08617103,5.947608834,0.077544873,76.69893104
,Plant,Heather,1.538,489.612,48.9698,-27.759,-1.5641,1.1012,0.0064728,0.081011,1.538,42.995,0.80447,-5.2456,,-0.29796,0.25913,-0.035774,0.038319,,-152.5825729,,,,5.699344354,,,,60.87212699,75.3155524,1.23727486,6.270548031,0.088332609,70.98791797
C,POM,QMA,11.5345,202.9325,2.7743,-30.02745,0.92544,1.1554,-0.050606,0.057281,11.5345,115.9165,0.32454,-0.02825,,0.29144,0.26336,-0.099243,0.064786,3.094252,,,,,,,,,8.548406976,32.00016335,3.74340663,2.664238061,0.267252562,9.968989802
Clear,POM,QMA,15.3625,164.6195,1.65575,-35.01375,-0.31933,1.1283,-0.0220666,0.069146,15.3625,93.84,0.189055,-0.374935,,-0.00326,0.261245,-0.0675085,0.0515525,3.066852,,,,,,,,,8.758033377,25.43645938,2.904357438,2.117763665,0.207350427,10.21345213
L,POM,QMA,15.356,314.44,3.143,-31.1327,-1.5641,1.1012,0.0064728,0.081011,15.356,145.887,0.28783,-1.19844,,-0.29796,0.25913,-0.035774,0.038319,3.069769,,,,,,,,,10.91964007,48.263908,4.41991748,4.018308884,0.315550616,12.73427678
Milk,POM,QMA,12.804,100.91,1.1941,-36.6821,-1.5641,1.1012,0.0064728,0.081011,12.804,77.468,0.17991,-2.00197,,-0.29796,0.25913,-0.035774,0.038319,3.099676,,,,,,,,,6.637207493,15.2892564,2.30356764,1.27293784,0.164458317,7.740185276
Mirror,POM,QMA,15.76433333,106.889,1.087783333,-27.3909,0.095593333,1.137333333,-0.031579733,0.065191,15.76433333,54.19366667,0.113313,-2.392108,,0.094973333,0.26195,-0.078086667,0.055963667,3.079044,,,,,,,,,9.599810551,17.14817905,1.786303903,1.42770619,0.127529371,11.19511668
Morgenroth,POM,QMA,11.583,109.6755,1.52925,-31.5661,0.92544,1.1554,-0.050606,0.057281,11.583,61.5025,0.17775,-1.170605,,0.29144,0.26336,-0.099243,0.064786,3.039014,,,,,,,,,8.603375527,17.71330275,2.05887825,1.474756702,0.146989238,10.03309308
No Name,POM,QMA,11.548,82.492,1.0776,-30.8165,-1.5641,1.1012,0.0064728,0.081011,11.548,44.7,0.11171,-2.040188,,-0.29796,0.25913,-0.035774,0.038319,3.120916,,,,,,,,,9.646405872,12.4441248,1.29002708,1.036060678,0.092098742,11.24945525
O,POM,QMA,13.419,245.283,2.8702,-28.2329,0.92544,1.1554,-0.050606,0.057281,13.419,98.823,0.23976,-0.83973,,0.29144,0.26336,-0.099243,0.064786,3.059678,,,,,,,,,11.9711378,38.5152138,3.21733944,3.20666171,0.229695112,13.96051346
Y-015,POM,QMA,8.8862,153.4093333,6.033166667,-29.9675,0.095593333,1.137333333,-0.031579733,0.065191,8.8862,91.29666667,0.750016667,-4.315367,,0.094973333,0.26195,-0.078086667,0.055963667,3.038802,,,,,,,,,8.044043463,53.61192564,6.664798106,4.463568865,0.475819098,9.380810655
Y-025,POM,QMA,10.515,54.70566667,0.846646667,-26.5364,0.095593333,1.137333333,-0.031579733,0.065191,10.515,34.55733333,0.109506333,-1.509477,,0.094973333,0.26195,-0.078086667,0.055963667,3.069863,,,,,,,,,7.731485877,8.902489704,1.151459091,0.741194713,0.082205975,9.016311937
Z,POM,QMA,13.065,133.646,1.5845,-31.6874,-1.7936,1.8802,-0.085415,0.13102,13.065,65.719,0.155,-1.03224,,-0.50568,0.44186,0.0091391,0.057457,3.10267,,,,,,,,,10.22258065,20.7014925,2.025075,1.723544459,0.144575926,11.92137933
Mirror,Salvelinus,"SL: 229, FL: 339",0.505,156.763,47.3549,-18.2786,-1.5641,1.1012,0.0064728,0.081011,0.505,234.736,14.1944,10.2002,,-0.29796,0.25913,-0.035774,0.038319,,-155.5444378,-86.56905,,,5.734179245,,0.2695168,,3.336167784,23.9142245,7.168172,1.991026934,0.511756408,3.890575486
Mirror,Salvelinus,"SL: 314, FL: 338",0.568,170.685,45.8876,-19.5725,-1.5641,1.1012,0.0064728,0.081011,0.568,263.754,14.2002,10.2738,,-0.29796,0.25913,-0.035774,0.038319,,-146.2441979,-86.56905,,,5.710362213,,0.2665037,,3.231475613,26.0641568,8.0657136,2.170023878,0.575834483,3.768485464
C,Trichoptera,,0.725,220.22,46.8022,-24.8547,-1.7936,1.8802,-0.085415,0.13102,0.725,202.361,8.5064,3.4111,,-0.50568,0.44186,0.0091391,0.057457,,-165.4599991,-61.1902,,,5.617672008,,0.2681911,,5.501998495,33.931595,6.16714,2.825043294,0.440289855,6.416326111
C,Trichoptera,,0.763,224.607,45.3499,-25.4012,-1.7936,1.8802,-0.085415,0.13102,0.763,199.982,7.9883,3.1755,,-0.50568,0.44186,0.0091391,0.057457,,-157.6404967,-61.1902,,,5.415493606,,0.2660051,,5.677040171,34.6019737,6.0950729,2.880857023,0.435144778,6.620456388
Clear,Trichoptera,,0.531,166.882,48.5515,-24.9591,-1.7936,1.8802,-0.085415,0.13102,0.531,135.989,7.8253,1.12492,,-0.50568,0.44186,0.0091391,0.057457,,-167.3892814,-87.786,,,5.681731807,,0.263587,,6.204426667,25.7808465,4.1552343,2.146436308,0.296654123,7.2354845
Milk,Trichoptera,,0.753,223.587,45.7451,-24.0175,-1.7936,1.8802,-0.085415,0.13102,0.753,183.558,7.4332,0.52883,,-0.50568,0.44186,0.0091391,0.057457,,-203.833692,-97.59605,,,4.266300594,,0.2683727,,6.154159716,34.4460603,5.5971996,2.867876139,0.399600171,7.176864136
Mirror,Trichoptera,,0.777,256.07,50.7206,-22.3411,-1.7936,1.8802,-0.085415,0.13102,0.777,228.18,8.9444,1.2281,,-0.50568,0.44186,0.0091391,0.057457,,-200.1210359,-86.56905,,,6.109670323,,0.2606259,,5.670654264,39.4099062,6.9497988,3.281151128,0.496166117,6.613009265
Morgenroth,Trichoptera,,0.724,216.558,49.7619,-24.7877,2.5923,2.5809,-0.017698,0.089801,0.724,198.955,9.2259,1.75818,,0.66325,0.6011,-0.071482,0.04218,,-196.6746054,-81.4243,,,5.366958303,,0.2661148,,5.393717686,36.0276156,6.6795516,2.999551711,0.476872392,6.290051089
Morgenroth,Trichoptera,,0.708,217.822,47.4084,-23.0016,-1.7936,1.8802,-0.085415,0.13102,0.708,228.868,9.8456,1.950914,,-0.50568,0.44186,0.0091391,0.057457,,-205.5433515,-81.4243,,,5.410537354,,0.2685053,,4.815186479,33.5651472,6.9706848,2.794533944,0.497657229,5.615378987
No Name,Trichoptera,,0.773,238.122,51.2377,-26.4785,2.5923,2.5809,-0.017698,0.089801,0.773,186.883,8.1167,1.33923,,0.66325,0.6011,-0.071482,0.04218,,-213.0406455,-83.9582,,,5.51250209,,0.2728013,,6.312627053,39.6067421,6.2742091,3.297539097,0.447933826,7.361665734
Y-015,Trichoptera,,0.807,197.082,37.6652,-20.6719,-1.7936,1.8802,-0.085415,0.13102,0.807,206.493,7.7973,1.14814,,-0.50568,0.44186,0.0091391,0.057457,,-199.6721218,-75.04475,,,3.898520833,,0.2652826,,4.830543906,30.3958164,6.2924211,2.530664924,0.449234033,5.633288527
Y-025,Trichoptera,,0.496,152.351,47.5007,-21.9723,-1.7936,1.8802,-0.085415,0.13102,0.496,152.347,9.3772,1.05524,,-0.50568,0.44186,0.0091391,0.057457,,-203.9628483,-86.4781,,,5.403752556,,0.2709712,,5.065552617,23.5603472,4.6510912,1.961564166,0.332054773,5.90735122
Z,Trichoptera,,0.749,240.262,49.3915,-26.3411,-1.7936,1.8802,-0.085415,0.13102,0.749,211.851,8.618,3.5433,,-0.50568,0.44186,0.0091391,0.057457,,-152.4652407,-57.5709,,,5.890419583,,0.2561226,,5.731202135,36.9942335,6.454882,3.080029431,0.460832584,6.683619041
C,sediment,,13.442,1236.757,14.4482,-26.2696,-0.36282,3.7703,-0.041571,0.046036,13.442,351.131,0.81741,0.2553,,-0.18499,0.88688,-0.019163,0.047059,,-168.3428833,,,,1.645056961,,,,17.67558508,194.2127044,10.98762522,16.16956993,0.784438154,20.6129315
No Name,soil,,12.413,738.875,9.3736,-25.9138,-0.36282,3.7703,-0.041571,0.046036,12.413,143.641,0.37472,-1.4007,,-0.18499,0.88688,-0.019163,0.047059,,-148.9269486,,,,1.232470024,,,,25.01494449,116.3544968,4.65139936,9.687328016,0.332076773,29.171953
O,sediment,,5.845,868.005,23.3701,-26.5175,0.59967,0.23102,-0.098196,0.11543,5.845,270.001,1.517,-0.29556,,0.13981,0.045943,-0.073521,0.042902,,-164.5172936,,,,2.798953236,,,,15.40547132,136.5982345,8.866865,11.37276118,0.633030985,17.96556797
Y-025,soil,,5.559,1216.333,34.4008,-25.5323,0.59967,0.23102,-0.098196,0.11543,5.559,197.077,1.1688,-5.53536,,0.13981,0.045943,-0.073521,0.042902,,-146.9093177,,,,3.216650992,,,,29.43258042,191.2340472,6.4973592,15.92157582,0.463865153,34.32371609
L,sediment,,5.163,1337.748,40.7279,-26.4983,0.59967,0.23102,-0.098196,0.11543,5.163,280.395,1.7828,-1.3152,,0.13981,0.045943,-0.073521,0.042902,,-162.0522257,,,,4.051805478,,,,22.84490689,210.2781477,9.2045964,17.50713077,0.6571426,26.64129638
O,soil,,4.994,1413.129,44.4738,-26.681,0.59967,0.23102,-0.098196,0.11543,4.994,189.6,1.2524,-3.38322,,0.13981,0.045943,-0.073521,0.042902,,-139.1932913,,,,4.613483339,,,,35.51085915,222.1021572,6.2544856,18.4915625,0.446525709,41.41208926
O,fil_algae,,2.031,478.477,37.2398,-25.3245,-0.36282,3.7703,-0.041571,0.046036,2.031,177.014,2.792,-0.61569,,-0.18499,0.88688,-0.019163,0.047059,,-175.2253528,,,,4.379560073,,,,13.33803725,75.6340338,5.670552,6.297063841,0.40483701,15.55456563
Z,moss,,1.51,352.992,37.0934,-32.4929,-0.36282,3.7703,-0.041571,0.046036,1.51,78.337,1.7597,-4.57698,,-0.18499,0.88688,-0.019163,0.047059,,-167.358076,,,,4.45827656,,,,21.07938853,56.011034,2.657147,4.663311464,0.189701364,24.58238241
Clear,Chaoborus,,0.7,222.998,50.9756,-31.8707,-0.36282,3.7703,-0.041571,0.046036,0.7,264.207,11.9046,9.5398,,-0.18499,0.88688,-0.019163,0.047059,,-152.562482,-87.786,,,5.747085235,,0.270169,,4.282008635,35.68292,8.33322,2.970853384,0.594932534,4.993597116
