Peak,FA_name,Common_name,Class,synthesizer,Reten_1_mirror_fish,Area_1_mirror_fish,Reten_2_mirror_fish,Area_2_mirror_fish,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_108_clear_caddis,Area_108_clear_caddis,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_80_clear_chaob,Area_80_clear_chaob,Reten_96_L_cal,Area_96_L_cal,Reten_81_clear_clad,Area_81_clear_clad,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_105_milk_cal,Area_105_milk_cal,Reten_106_milk_chaob,Area_106_milk_chaob,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,,Reten_17_O_filAlgae,Area_17_O_filAlgae,Reten_32_O_peri,Area_32_O_peri,Reten_29_morg_peri,Area_29_morg_peri,Reten_34_y015_peri,Area_34_y015_peri,Reten_41_C_pom,Area_41_C_pom,Reten_44_clear_pom,Area_44_clear_pom,Reten_48_milk_pom,Area_48_milk_pom,Reten_51_mirror_pom,Area_51_mirror_pom,Reten_54_morg_pom,Area_54_morg_pom,Reten_64_Z_pom,Area_64_Z_pom,Reten_71_O_soil,Area_71_O_soil,Reten_73_plant,Area_73_plant,Reten_74_plant,Area_74_plant,Reten_75_plant,Area_75_plant,Reten_76_plant,Area_76_plant,Reten_77_plant,Area_77_plant,Reten_109_Z_moss,Area_109_Z_moss,total_appearances_prod,total_appearances_cons,,
27,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.67424965,1.852065921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.69234657,2.282611847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.66461182,3.270000219,NA,NA,25.64707184,3.337179422,NA,NA,NA,NA,2,2,4,0.083333333
28,,,,,NA,NA,NA,NA,NA,NA,25.88819122,1.786906242,25.88009071,2.885294914,25.85997963,3.482520342,25.88598824,2.780808926,25.88103676,3.330834866,25.88008118,4.965792179,NA,NA,25.88890839,2.199823856,25.89279175,3.270172596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.87365341,3.412822247,NA,NA,25.85342216,3.064887762,NA,NA,NA,NA,2,8,10,0.208333333
29.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.44410896,2.289787531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
31,i16-0,,SAFA,bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45957565,3.069877148,27.45254898,7.134357929,27.45309448,4.513172626,NA,NA,27.44734764,4.839259148,27.44729233,2.277812481,NA,NA,27.44527626,4.164742947,NA,NA,27.44266319,3.120823622,27.4442482,2.866551638,27.44939232,10.9768219,27.44906807,6.675378799,NA,NA,27.44618607,4.208743095,27.44352531,7.114460945,27.44168854,3.933274746,NA,NA,27.42981148,2.468459606,27.44314957,3.745666265,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.42490959,2.337618589,27.50085258,11.14781189,NA,NA,NA,NA,NA,NA,27.14240837,6.434364796,NA,NA,3,15,18,0.375
32,16-0,,SAFA,t-POM,29.18048859,60.05001831,29.22314453,167.7549896,29.22754097,194.9248657,29.25460052,252.5829926,29.19970703,103.6860046,29.25889587,389.885437,29.23056984,172.9376526,29.21327591,133.9206543,29.22787476,188.312561,29.21899986,124.9375381,29.24088097,195.5327911,29.25758934,240.1091309,29.27760315,358.327179,29.25990295,286.9136353,29.21547508,156.4772186,29.28328896,420.2233582,29.23870659,232.6644745,29.22878838,199.420166,29.26013184,326.1678162,29.17763901,75.97454834,29.24206924,265.9096375,29.2155571,165.1879578,29.30967522,555.3544922,29.28464699,413.5822754,29.21558571,163.9787598,29.23049164,199.880188,29.25286484,310.4258118,29.22979355,219.5191498,29.19596291,106.1043243,29.18924332,113.3125381,29.23165131,206.9620819,,29.16618347,136.6936493,29.19281769,149.1302948,29.19037437,152.7959442,29.14271545,23.83492851,29.14336205,30.25640297,29.13712692,13.93801785,29.15595055,45.89149475,29.14375496,20.04746056,29.1452713,26.57623482,29.13968658,4.704027176,29.16368484,79.24564362,29.17604065,54.78801727,29.19414139,109.1369934,29.20792389,110.3733139,29.17526436,111.9092102,29.19273376,176.3332367,29.16356468,70.47893524,17,31,48,1
33,16-0 (secondary),,SAFA,t-POM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.50426674,4.144557476,NA,NA,29.50925636,11.93279076,NA,NA,NA,NA,29.49590874,3.594069004,29.52778435,10.96151924,29.52038765,6.137532711,NA,NA,NA,NA,29.58412552,6.911828041,29.57753944,3.773731232,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0.145833333
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,NA,NA,29.78743172,5.801050186,29.78271294,4.853469849,29.79504776,4.394880295,NA,NA,29.7734127,7.533689022,NA,NA,NA,NA,29.79101372,2.265295982,29.7937355,2.815860748,29.79417801,4.677788734,29.80219841,7.822441578,29.8139286,18.77343178,29.80355072,16.17406654,29.7762394,2.319501877,29.80438232,8.115167618,29.81336594,2.766767025,NA,NA,29.82842827,11.60521889,NA,NA,29.78689957,4.781125069,29.78429985,5.516699791,29.80888748,11.18603325,29.80395317,31.89764786,29.78369713,10.3259306,29.79359055,14.55446434,29.79235268,3.486341715,NA,NA,29.78159714,6.779488564,29.77671623,5.798832893,29.7900219,11.56045532,,29.74042511,3.327722311,29.80546188,31.40368652,29.78186798,7.067302227,NA,NA,29.79511833,6.004884243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.75079727,4.825237751,NA,NA,30.14094162,3.628002882,NA,NA,NA,NA,NA,NA,6,24,30,0.625
36,16-1,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.95977783,4.396716118,NA,NA,NA,NA,NA,NA,29.95734024,8.422816277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.96081161,4.555864811,29.95605659,3.383592844,NA,NA,NA,NA,29.945364,3.432163239,NA,NA,NA,NA,NA,NA,29.94608498,7.10774374,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.125
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.13261795,22.74563217,30.1631794,107.8940887,30.13869667,35.88169098,30.15677643,54.70383835,30.13765907,28.84243965,30.14109993,85.59881592,30.15148926,44.66452789,30.13983345,26.75465584,30.1364212,14.72935295,30.15295982,41.52625275,30.15655327,49.21037674,30.17374992,90.34507751,30.19004822,165.4835663,30.16991425,101.6272507,30.13450241,38.75849533,30.17035103,103.3655167,30.14167976,22.07278633,30.13835907,15.89616489,30.14422417,33.13156891,30.11735153,11.2590332,30.14143562,37.33267975,30.13770676,27.72460365,30.18308258,131.5342407,30.18852425,160.8198547,30.14179802,45.69731522,30.1650753,101.033783,30.15393257,76.60489655,30.14108086,45.42907333,30.13913918,37.82129288,30.13616371,69.56352997,30.17565727,147.4388275,,30.08653641,16.34532166,30.1130619,28.83382988,30.11448097,42.149189,30.10467529,4.044854641,30.10296059,3.434801817,30.1019783,2.324655533,30.10946655,10.47334576,30.10915375,2.669532299,30.1079216,2.495022535,NA,NA,30.10416603,5.662127018,30.12491608,5.095620632,NA,NA,30.37865829,16.07926369,30.35214996,45.0296669,30.32426643,10.84365654,30.10741997,13.03659439,15,31,46,0.958333333
38,16-1n6,,MUFA,MOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.34138489,4.642585278,30.36825943,3.103230238,30.36441422,2.702410936,NA,NA,NA,NA,30.37222862,4.063903809,30.39700508,3.004988909,30.41078758,2.862896442,NA,NA,30.34979248,4.166135788,30.39899826,5.307274342,NA,NA,30.68173027,5.987483025,NA,NA,NA,NA,NA,NA,NA,NA,30.41617966,5.538543701,30.41203117,3.128777504,NA,NA,NA,NA,30.39570618,2.84931469,NA,NA,NA,NA,NA,NA,30.38783646,3.5454216,,30.33161545,48.79533768,30.34107399,18.39307785,30.33362389,12.67941284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36598015,17.25899124,NA,NA,NA,NA,NA,NA,NA,NA,30.34315491,25.4195137,5,13,18,0.375
39,16-1n5,,MUFA,sulfate reducers,NA,NA,30.67692947,2.367202997,30.67573547,3.003577232,30.68532372,4.31007719,NA,NA,30.65609741,4.586418629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.69219208,4.484535694,30.68624687,9.247582436,30.68545723,7.398258686,NA,NA,30.68272591,6.685977936,30.68041801,4.879556179,NA,NA,30.67647171,4.402616024,30.65918732,2.356625557,30.67429924,4.748585701,30.67686844,8.336698532,30.6956768,38.42290115,30.68571091,17.42850304,30.67575264,5.454623222,30.68076897,7.512189388,30.67844582,14.05995846,30.67496681,8.924150467,30.67697144,3.396496058,30.66215515,3.117462635,30.67694473,6.83868742,,30.63171196,2.569623232,30.70992851,7.495226383,30.65080643,3.251703501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5699501,5.913635254,30.75664139,21.07681656,30.37030411,43.90785599,NA,NA,NA,NA,NA,NA,NA,NA,6,22,28,0.583333333
39.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28358841,2.949486494,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
40,17-0,,SAFA,,NA,NA,NA,NA,31.49395561,2.298091888,31.50126839,3.040585518,NA,NA,31.47098351,3.406568289,31.50080681,2.216854572,NA,NA,NA,NA,31.50622559,2.789940357,NA,NA,31.50709724,3.892935038,31.49868774,9.857953072,31.49956131,8.399643898,31.48218536,2.079701185,31.48998451,6.364057064,31.48888206,3.497860432,31.4910183,5.151728153,31.4871254,6.461574078,31.47117043,5.061304569,31.48613358,5.248898983,31.48834991,10.10185814,31.50484085,38.63804626,31.49287415,13.46193886,31.48734474,3.843420982,31.49072838,8.299765587,31.48195839,9.023931503,31.28027916,2.170385122,31.48693466,2.976380348,31.47043991,4.208520889,31.48491096,4.379362106,,NA,NA,31.45944786,2.700861216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,26,0.541666667
