Peak,FA_name,Common_name,Class,synthesizer,Rel_3_C_caddis,Rel_4_C_caddis,Rel_6_milk_caddis,Rel_7_mirror_caddis,Rel_8_morg_caddis,Rel_9_morg_caddis,Rel_10_noname_caddis,Rel_11_y015_caddis,Rel_12_y025_caddis,Rel_13_Z_caddis,Rel_108_clear_caddis
39,16-1n5,,MUFA,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),0.290528708,0.37039475,#VALUE!,0.405674179,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.324420937,#VALUE!
39.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
40,17-0,,SAFA,,0.22228883,0.261298548,#VALUE!,0.301315014,0.359251761,#VALUE!,#VALUE!,0.457142044,#VALUE!,0.281623276,0.347622179
41,16-2,,PUFA,green algae and diatoms,0.818073691,0.735124221,#VALUE!,0.413609789,0.395256367,1.057946461,0.52060033,0.994667215,2.268200459,0.673733288,0.461522385
41.5,?,,SAFA,,#VALUE!,0.318606737,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
42,17-0,,SAFA,,1.091050549,0.626252455,#VALUE!,0.234854078,0.47711052,0.594797392,0.948124263,#VALUE!,0.591789292,0.80863799,#VALUE!
42.5,17-1,,MUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
43,17-1?,,MUFA,,0.288844931,0.403160978,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
44,16-2?,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
44.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
45,17-0,,SAFA,,0.958471069,1.273477408,1.481023984,1.534669827,1.437039345,1.294183703,1.107876057,2.43949753,1.109419551,0.993656263,1.719972045
45.5,16-3n4,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
46,16-4n3,,PUFA,green algae,1.814059513,1.633197615,#VALUE!,0.4948266,1.428088112,0.827671709,1.371711147,2.284516294,2.16406893,1.149796486,0.75419129
47,17-1,,MUFA,,#VALUE!,#VALUE!,#VALUE!,0.450465491,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.687128086
49,17-1,,MUFA,,0.862698442,0.859428351,#VALUE!,#VALUE!,0.452226259,#VALUE!,#VALUE!,0.689566084,0.987400687,0.403858205,#VALUE!
50,i18-0,,SAFA,bacteria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
51,17-2? Or a18-0,,PUFA or SAFA,could be bacteria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
52,18-0,,SAFA,t-POM,5.842877814,7.476593158,12.64239146,13.06579105,12.91134732,10.60161983,10.08345931,8.909609826,10.01089783,6.948552775,15.50543808
54,18-1n9c,oleic acid,MUFA,fungi,26.68969058,26.40057492,32.49875808,23.56559605,23.57517442,27.17743524,28.85761201,28.146663,27.81927833,19.9951215,29.65671224
55,18-1n7,,MUFA,,2.486392904,2.354718233,2.661540315,3.985707519,2.628830155,2.727507246,1.981562177,3.266830913,2.939889725,3.805731597,4.187654062
55.5,18-1n6,,MUFA,MOB,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
56,18-1,,MUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
57,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
58,,,,,#VALUE!,#VALUE!,#VALUE!,0.522404415,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
59,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",14.15602641,10.53927603,4.712876836,1.470056468,4.432567433,13.03213784,5.337054456,3.732380144,7.052526842,18.0688794,2.494113564
60.5,,,,,0.284637034,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
61,18-2n6 (secondary),LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",2.052582082,1.112167596,#VALUE!,#VALUE!,0.619504109,2.174937653,0.986491527,#VALUE!,#VALUE!,2.595298228,#VALUE!
62,18-3n6,GLA (gamma-linoleic),PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.469278155,#VALUE!
64,18-3n3,ALA (alpha-linolenic),PUFA,green algae and diatoms,10.91360072,8.407748434,6.582409254,1.729107974,3.672741483,3.389729317,3.056881229,11.61278331,6.624692816,6.511299827,2.922873007
65,18-4n3,SDA (stearidonic acid),PUFA,green algae,0.365803404,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.279226093,0.818319131,#VALUE!
66,,,,,0.335316758,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
67,18-5n3,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
68,20-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",0.491667885,0.576461583,1.268662169,1.067855675,1.129374821,0.932661171,0.862722373,0.724504161,0.831911163,0.387774611,1.6448003
69,20-1n9,,MUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
70,20-1n7,,MUFA,,#VALUE!,0.314451597,0.719699819,0.651146059,0.527540042,0.538613776,#VALUE!,#VALUE!,0.529620656,0.260570029,0.879389327
70.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
72,,,,,#VALUE!,#VALUE!,0.724897433,0.745216212,0.849111556,0.663780707,1.079285632,#VALUE!,0.354728552,#VALUE!,0.824410109
73,,,,,#VALUE!,#VALUE!,1.527134022,0.821800532,1.798809844,1.443464168,2.344098658,#VALUE!,0.736619863,#VALUE!,1.206452623
74,,,,,#VALUE!,#VALUE!,#VALUE!,0.412989663,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
74.5,20-3n3,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
75,20-2n6,,PUFA,Euglenophyceae,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
76,20-3n6,,PUFA,Euglenophyceae,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
77,20-4n6,ARA (arachidonic),PUFA,"produced by very few higher plants and algae, must be elongated from LIN",1.326860976,0.847070313,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.770198371,0.659264936,2.902618783,#VALUE!
80,20-4n3,,PUFA,Euglenophyceae,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",2.87217812,1.534628845,1.384519598,#VALUE!,1.299076709,1.141640758,#VALUE!,1.459601082,2.110052044,2.566055491,#VALUE!
82,22-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",0.319542729,0.504606152,1.535681653,0.706566519,0.818639053,0.569309556,#VALUE!,0.516320038,0.587163459,0.250889268,1.199132587
83,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
85,21-5n3,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
86,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
87,22-4n6,,PUFA,Euglenophyceae,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
87.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
89,22-5n3,DPA (docosapentaenoic),PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.288417925,#VALUE!
91,24-0,JSY?,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",#VALUE!,#VALUE!,1.331621963,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
92,24-1n?,,MUFA,vv,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
95,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.620307742,#VALUE!
97,,,,,#VALUE!,#VALUE!,#VALUE!,0.499308519,0.698075907,#VALUE!,0.75823612,#VALUE!,#VALUE!,#VALUE!,#VALUE!
98,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
